,Average wind speed (m/s),Average power (kW),Input turbulence intensity (%),Input alpha
2283,10.4599,3866.05,21.15,0.37
4059,18.4783,4977.17,26.87,-0.19
1865,13.7339,4971.03,13.4,0.27
747,24.7734,4987.04,10.56,-0.38
147,3.63477,193.188,35.43,-0.27
7595,6.76082,1263.12,36.3,0.49
1536,10.0983,3749.1,35.01,-0.2
2221,21.2448,4984.57,19.49,0.34
7367,9.389,2879.29,13.02,0.17
1094,19.7606,4957.66,35.86,-0.09
5375,7.32662,1518.17,18.71,-0.16
2563,8.46379,2807.0,40.36,-0.28
1386,3.94329,188.861,13.34,0.36
5955,15.1301,4939.38,26.59,-0.03
4335,7.34414,1567.65,8.01,-0.33
5935,18.7654,4986.32,8.5,0.04
5897,21.9719,4835.34,37.37,0.49
1389,5.43298,632.704,30.07,0.1
3051,20.5791,4976.81,26.3,-0.13
367,14.2429,4897.88,28.52,0.06
1050,18.417,4927.02,35.54,-0.03
1502,22.8516,4839.93,44.88,-0.21
7398,17.0746,4984.63,8.67,0.22
3381,19.586,4986.75,7.01,-0.33
6294,17.4013,4985.71,12.01,0.3
1199,21.8615,4897.19,42.83,-0.45
3439,16.5269,4986.06,10.12,0.13
3703,15.5391,4950.33,25.6,0.17
6221,19.8014,4986.47,12.99,0.01
1813,25.1067,4962.91,26.67,-0.01
2214,22.3198,4983.31,20.98,-0.07
3153,19.6301,4928.52,37.44,-0.29
2472,24.4092,4897.42,41.68,0.28
2121,4.94029,470.934,28.25,0.23
6907,12.3895,4908.89,12.69,-0.13
444,5.25447,519.919,17.74,0.02
7848,3.34162,145.527,36.57,0.04
6311,17.5291,4986.19,17.42,-0.06
5186,19.1499,4986.68,7.99,-0.2
1642,5.50351,619.323,19.22,-0.03
1918,9.92383,3388.97,7.26,0.04
1549,9.76203,3210.24,21.0,0.36
5351,7.28167,1681.54,40.82,0.24
3593,5.18043,525.336,22.59,0.48
371,12.0432,4563.31,31.81,0.37
2248,12.8285,4981.77,11.28,-0.24
1864,13.9545,4569.94,42.97,-0.13
424,19.5699,4859.04,39.38,-0.12
7746,19.0108,4985.58,6.1,0.46
