,Average wind speed (m/s),Average power (kW),Input turbulence intensity (%),Input alpha
5718,7.50221,1538.41,10.01,-0.14
29,11.2407,4255.29,24.9,0.25
6944,11.3344,4772.76,5.89,-0.02
2670,14.3989,4765.98,40.2,-0.28
7920,10.3829,3795.94,5.78,0.18
2388,7.39248,1718.51,44.24,0.28
4438,13.4099,4460.63,36.85,0.09
1416,22.6857,4873.69,41.11,-0.03
7842,16.1457,4983.69,14.09,0.16
4712,9.62264,3504.64,6.53,-0.33
6244,16.7779,4985.96,9.14,-0.15
3353,21.9371,4913.28,34.74,0.39
1432,18.7779,4857.13,43.35,-0.3
2988,8.08941,2551.96,41.78,-0.29
4675,10.3735,3860.71,40.03,-0.2
4666,6.40137,979.24,19.34,0.33
5121,3.30733,115.011,29.4,0.1
6329,4.43142,331.304,23.76,0.04
2145,15.8755,4824.45,34.36,-0.3
3194,9.75818,3253.27,11.97,0.25
7694,7.57934,1922.73,33.86,-0.29
6351,9.02527,2994.96,40.58,-0.23
2877,17.9271,4982.12,32.3,-0.37
133,12.3791,4046.29,44.14,0.49
3536,20.5796,4987.12,15.74,-0.06
3431,13.7826,4978.12,13.84,-0.03
4185,18.45,4984.31,14.23,0.5
7488,12.5711,4537.87,38.4,0.2
1176,9.09668,3286.21,43.81,-0.42
1900,14.2846,4984.1,5.19,0.29
3137,24.3544,4986.81,8.44,0.47
6436,17.8173,4984.95,11.0,0.24
187,15.5797,4982.24,15.09,0.32
4826,4.5717,379.656,29.93,-0.09
5331,17.1345,4980.85,14.75,-0.23
3501,3.11454,80.7557,27.67,-0.05
4721,9.62548,3242.48,20.26,0.13
6580,8.43377,2212.39,22.08,0.14
6108,24.1711,4795.15,36.81,0.06
6850,7.079,1269.3,18.1,0.38
7501,19.3367,4954.59,27.0,0.42
3891,7.91599,2040.07,25.42,-0.19
5012,24.1809,4987.08,12.36,0.11
173,8.39869,2782.76,42.53,-0.44
953,19.1775,4922.12,35.53,0.28
4243,3.29303,111.005,22.75,-0.22
33,3.83619,171.617,8.91,0.36
5613,16.8712,4984.59,10.36,0.36
5883,13.8534,4980.67,15.1,0.23
5077,14.2506,4982.95,16.5,-0.42
2340,6.10198,856.029,6.5,-0.23
7826,18.8689,4985.86,16.71,0.33
3052,7.34986,1528.29,27.41,0.11
5636,12.2508,4652.62,27.93,0.49
3572,12.4812,4708.5,25.54,-0.01
5095,18.9997,4984.71,13.31,-0.18
4579,13.8971,4729.03,35.01,-0.38
5197,23.9853,4964.1,31.52,-0.28
4291,12.3102,4497.15,23.74,0.09
3872,13.8149,4842.29,25.12,0.4
5088,3.4607,154.882,17.44,-0.42
5567,24.3944,4973.16,23.55,0.42
6478,8.96996,2474.3,5.88,0.06
3076,22.2254,4963.22,28.15,-0.41
1360,12.717,4947.54,12.07,0.13
7841,13.3869,4982.36,8.57,0.42
2355,13.1958,4905.2,20.74,0.11
1038,21.4231,4946.5,35.55,-0.38
6851,23.774,4768.48,43.02,0.25
1073,14.7733,4985.08,6.45,-0.01
5778,13.2354,4981.82,6.92,0.47
5473,22.0594,4964.37,30.11,-0.15
7956,17.6234,4986.19,9.39,-0.36
236,0.0,0.0,43.8,0.22
4365,14.4075,4864.08,23.16,0.5
2688,10.7309,3982.16,42.97,-0.18
728,5.57969,603.414,8.84,-0.01
964,9.16198,2853.86,27.21,0.04
355,3.31168,97.3462,14.46,0.31
2152,16.3427,4946.92,38.41,-0.42
7923,13.1483,4625.96,36.31,-0.03
705,24.6519,4822.26,41.12,0.07
4089,13.9544,4878.63,26.07,0.11
7043,8.59433,2294.94,20.75,0.36
600,10.0494,3495.68,26.24,0.21
1905,24.8729,4887.25,39.12,-0.02
5571,10.917,4501.75,17.35,-0.32
5737,7.15325,1304.64,10.36,0.03
7209,10.1545,3876.43,31.38,-0.39
4700,24.168,4986.86,12.52,0.16
7601,9.6262,3415.95,33.58,-0.12
3081,14.3872,4984.69,11.05,-0.01
2120,3.15837,91.6633,23.81,-0.05
5851,10.3787,3724.14,37.93,-0.15
2529,20.464,4786.62,38.57,0.34
3241,21.3571,4964.94,29.48,-0.18
6169,5.09235,558.499,27.44,-0.28
4002,8.78802,2800.4,7.9,-0.41
3762,9.01082,2938.5,19.43,-0.23
6508,9.2818,2912.54,25.15,0.22
1028,6.56875,1056.99,21.7,0.47
1756,23.9633,4921.78,29.64,-0.33
4371,16.5327,4985.46,15.3,0.42
1807,15.5925,4801.22,36.89,-0.41
6058,12.7111,4520.28,40.76,-0.28
533,9.98668,3468.96,23.61,0.15
7403,11.2821,4194.58,40.11,-0.41
3644,22.0441,4833.96,35.98,0.49
2872,23.6365,4987.02,5.91,0.17
2445,17.2805,4943.57,30.92,0.02
4280,14.9652,4810.75,38.9,-0.18
7939,15.7811,4985.52,12.88,-0.45
5731,20.1817,4811.53,39.86,0.29
5010,19.5085,4881.43,37.57,0.13
7548,16.2274,4931.2,26.37,0.23
1302,19.5175,4985.57,10.7,-0.04
3407,23.4197,4987.0,7.33,-0.01
469,6.50353,1094.9,37.75,0.21
3257,6.7288,1273.1,10.3,-0.4
314,10.7743,3972.07,32.53,0.46
7739,15.1969,4980.88,21.1,0.07
2532,18.6782,4874.43,35.74,0.44
882,11.6096,4724.8,21.3,-0.31
5372,15.5177,4957.75,22.01,-0.2
5434,25.3262,4845.97,38.95,-0.07
7919,23.0276,4980.73,20.28,-0.08
1382,19.9305,4846.23,43.03,0.44
6701,13.8534,4809.78,33.97,0.09
3013,8.28543,2205.56,11.2,-0.25
4732,4.76598,378.045,17.09,0.02
1230,18.1056,4972.41,28.57,-0.16
7942,4.26989,275.828,27.46,0.27
580,11.8538,4319.13,28.86,0.02
4600,11.1788,4185.56,40.64,-0.46
93,17.3,4984.45,13.21,-0.31
170,3.73338,221.14,20.97,-0.46
7450,17.9011,4986.27,9.14,0.27
6453,21.7994,4986.16,17.92,-0.09
1282,7.80428,1662.92,12.58,0.39
4885,3.96215,234.182,25.17,0.48
6200,18.4914,4763.49,44.82,0.45
2725,24.9182,4986.36,16.04,0.22
1889,23.957,4968.21,28.6,0.26
6188,20.2559,4985.88,20.28,-0.1
7657,15.6102,4780.11,44.63,-0.22
270,4.53772,325.962,15.8,0.12
1547,9.52167,3159.97,32.0,0.37
6343,22.8727,4973.4,23.35,0.11
3400,21.212,4986.73,15.19,-0.2
5854,24.5252,4909.63,42.27,0.2
3217,17.0383,4983.5,20.74,-0.43
3065,12.6738,4753.78,22.7,0.03
7234,13.6297,4631.91,44.51,-0.21
4116,14.6594,4947.67,29.39,-0.26
7445,22.2801,4916.0,34.68,-0.04
591,9.68685,3859.65,44.11,-0.49
3251,8.25173,2741.64,38.36,-0.5
7120,11.9093,4833.57,11.5,0.33
7988,7.64265,1550.24,8.55,0.41
2505,8.59196,2347.75,12.61,-0.15
5270,22.2543,4844.37,32.27,0.39
576,12.0978,4959.36,9.29,-0.01
7335,6.229,865.975,14.81,0.19
1877,14.0962,4662.94,32.93,-0.26
6604,23.5483,4975.06,26.45,0.27
302,15.9451,4611.16,43.3,0.14
4261,8.63202,2470.34,26.29,-0.05
5020,16.8624,4985.79,6.53,0.15
1231,15.899,4985.32,11.5,0.02
7258,24.7041,4987.0,6.07,0.12
1928,13.6072,4934.32,18.46,-0.44
366,8.89929,2422.57,6.44,0.43
5327,13.0492,4655.58,39.75,-0.39
5552,7.61074,1797.11,21.65,-0.26
1961,13.0173,4982.3,7.17,-0.03
4258,5.8731,841.132,28.89,-0.2
2792,22.1673,4986.83,8.17,0.45
933,9.3086,2929.55,31.59,0.23
5960,20.2336,4986.18,20.48,-0.13
1355,8.02464,2561.41,38.12,-0.48
6688,22.1578,4985.13,18.99,0.24
7293,12.6149,4417.75,30.15,0.31
7396,13.1355,4961.83,16.44,-0.24
5228,18.0233,4985.97,8.58,-0.18
1358,6.29602,1140.44,41.63,-0.3
5054,9.7143,3121.77,43.62,0.36
7039,12.6914,4348.59,42.72,-0.14
6991,7.26598,1653.0,32.42,0.11
7847,21.9668,4982.54,26.55,-0.29
7116,9.26736,3439.92,34.69,-0.4
1688,10.5355,3936.88,19.2,0.41
943,9.95763,3562.08,21.77,0.48
4238,10.2237,3608.54,33.49,0.4
3504,6.1963,943.451,28.91,0.17
1490,6.11352,913.036,30.34,0.29
7200,9.7419,3255.47,11.39,0.06
1608,15.6474,4766.78,37.85,-0.25
838,22.1121,4972.93,29.3,-0.37
496,11.1006,4079.18,35.02,0.01
7718,18.5818,4954.26,30.67,0.22
6502,12.8692,4555.98,26.51,0.19
6034,22.929,4926.65,35.19,0.31
7179,24.2556,4986.94,12.39,0.05
4163,24.9999,4986.8,11.31,-0.04
7531,19.9641,4986.75,15.71,-0.11
2798,21.8139,4975.97,20.75,0.14
6998,15.0934,4796.1,37.63,0.11
471,18.6744,4943.83,24.58,0.32
3804,9.65462,3692.3,22.33,-0.42
6475,9.58127,3490.55,7.59,-0.34
7687,4.58945,378.935,9.18,-0.36
1291,19.3287,4985.54,24.75,-0.4
7378,19.1719,4983.25,25.38,-0.41
7322,11.0749,4309.05,41.56,-0.36
1326,23.3438,4959.18,26.01,-0.34
5139,15.5293,4984.63,16.6,0.39
3319,18.7121,4705.23,39.28,-0.36
1641,17.8048,4986.69,8.97,0.09
7720,9.80506,3324.74,20.3,0.43
456,8.01964,2368.96,35.09,-0.46
1163,19.4483,4986.52,5.88,-0.23
6004,11.7314,4878.05,9.5,-0.09
6661,4.3517,301.752,25.25,0.36
1077,20.3121,4983.23,25.19,-0.49
6031,3.94326,261.484,21.63,-0.43
2439,23.2167,4984.05,19.18,-0.08
7049,22.5519,4986.11,14.45,0.41
1273,20.7027,4947.23,32.33,-0.13
3126,5.20878,552.978,12.04,-0.29
1445,20.4078,4981.16,24.09,-0.24
7388,11.5369,4217.75,23.51,0.26
5424,16.4471,4985.68,8.02,-0.47
6904,6.67492,1021.54,8.01,0.26
1976,12.9902,4982.6,5.1,-0.36
5276,8.40009,2535.43,42.28,0.13
1888,15.3183,4985.04,9.06,-0.47
4803,3.04421,64.7262,16.12,0.47
4169,22.3049,4986.85,9.95,-0.01
5343,25.3214,4937.83,34.33,-0.05
5065,14.6367,4984.82,12.13,0.18
1715,16.7031,4870.03,44.7,-0.08
1561,20.9772,4980.61,22.45,0.48
3330,8.03531,2248.94,43.84,-0.22
2010,19.1691,4899.68,32.3,0.49
7619,22.9643,4981.74,22.0,0.17
2156,15.7995,4984.29,9.57,-0.43
1861,10.4957,3827.25,22.42,0.47
3628,4.63021,438.626,21.47,-0.41
6454,12.0374,4359.81,36.3,-0.24
3072,9.78059,3372.24,43.36,0.2
5365,6.6205,1145.87,15.71,-0.25
3124,7.30869,1824.43,33.55,-0.47
5518,11.7576,4634.79,28.49,-0.25
7235,19.517,4986.37,6.74,0.44
735,15.5316,4984.07,6.69,0.36
6567,23.1451,4834.33,42.77,-0.42
7471,16.6774,4985.55,9.34,-0.32
3741,24.8285,4867.21,41.39,0.25
4916,18.1298,4982.29,27.96,-0.17
5058,12.83,4521.51,31.71,-0.21
1979,20.7922,4890.79,40.33,-0.2
615,6.04534,784.877,6.26,-0.06
7306,18.9368,4928.14,41.3,-0.18
1784,18.2013,4834.63,44.01,-0.41
5835,16.0067,4959.76,21.29,0.31
5413,24.579,4984.75,19.32,-0.09
1327,20.7371,4986.85,6.14,0.02
12,6.06099,762.692,7.52,0.28
7751,3.96244,191.764,11.08,0.0
3312,19.2686,4987.1,16.45,0.16
6309,5.15081,723.5,43.46,-0.27
6870,4.50431,357.283,26.41,0.18
1529,7.51305,1804.53,33.28,0.0
6426,3.66209,180.452,25.08,-0.26
6138,14.1706,4972.7,18.98,0.1
4922,7.94176,1882.24,17.96,0.15
3391,11.3924,4099.22,35.2,0.38
7347,10.2867,3547.62,42.42,0.24
6287,5.06747,463.814,11.55,-0.13
7492,9.90812,3549.97,39.66,-0.05
1148,3.37233,104.262,18.7,0.08
70,17.7044,4835.97,30.18,0.46
6698,14.2884,4750.0,43.97,0.35
7421,13.3412,4960.8,14.88,-0.35
5155,18.192,4986.27,8.03,0.02
5712,7.57859,1779.23,42.31,0.48
3321,10.1637,3728.25,24.04,-0.03
663,20.3059,4961.88,23.46,0.1
7307,12.062,4157.74,44.64,-0.08
3997,22.0445,4926.9,30.26,-0.26
2497,20.5053,4878.78,36.93,0.24
1126,20.4711,4982.8,19.86,0.21
4251,20.8497,4986.81,15.59,-0.4
627,16.6529,4985.34,8.2,-0.04
1229,17.4528,4900.15,40.75,0.15
6931,20.3267,4979.3,22.22,-0.34
740,11.3061,4658.35,17.63,-0.23
5050,23.9109,4803.78,41.55,-0.35
6737,13.9019,4944.33,23.58,0.31
2398,11.0226,4077.02,27.7,-0.05
1012,4.30177,322.257,8.57,-0.43
5108,14.3014,4900.56,24.64,-0.18
3535,23.9783,4986.69,12.37,0.23
5830,3.90326,240.596,32.23,-0.21
3932,5.8708,835.213,36.46,0.38
4093,11.7977,4159.38,35.23,0.37
6286,23.2648,4986.6,6.02,-0.44
7877,24.8548,4976.87,21.87,0.17
7354,5.82972,819.451,40.59,-0.12
1926,14.623,4983.73,7.94,0.4
4229,6.02647,859.054,22.98,0.37
6684,13.9745,4984.34,7.0,-0.01
3683,17.2075,4986.69,16.8,-0.18
5174,23.0551,4981.68,21.94,0.45
724,7.62572,1869.53,26.06,-0.28
6879,21.2509,4986.5,11.01,-0.5
2412,21.2565,4986.86,14.39,0.02
4038,19.1861,4827.41,41.77,0.47
7459,19.4455,4986.97,19.55,0.34
7569,12.7483,4891.72,13.67,0.22
6487,12.9341,4929.99,12.15,0.21
3568,23.8275,4977.13,25.76,-0.43
5377,22.4851,4986.69,9.06,0.45
3445,22.0836,4931.91,33.96,0.14
2348,25.0607,4959.91,33.35,-0.15
4357,24.024,4978.38,23.02,-0.15
4641,9.48915,3562.86,28.34,-0.44
3743,4.34443,371.897,20.77,-0.48
2995,18.8182,4984.22,21.53,-0.39
234,8.95307,2533.12,9.49,0.0
2803,24.4212,4982.9,18.69,-0.48
3172,7.10235,1899.08,43.17,-0.45
1950,12.4027,4342.19,25.79,0.27
7316,6.76682,1239.22,31.41,0.01
1003,17.3654,4969.09,26.49,0.32
2418,13.0315,4974.13,16.15,-0.05
2608,23.5994,4986.12,19.04,-0.11
6949,3.51727,220.616,41.77,-0.43
890,14.6483,4924.63,31.67,-0.12
1558,6.71577,1341.55,36.32,0.1
2653,4.55484,351.568,24.96,0.44
1934,13.6709,4984.08,9.16,-0.11
2423,12.1665,4721.0,18.84,0.08
7044,5.88455,870.652,40.6,0.0
6175,13.16,4541.52,35.15,-0.11
6434,17.9616,4978.44,21.18,0.41
1007,5.28686,669.007,39.75,-0.3
3765,8.91531,2823.96,22.95,-0.26
4316,5.33543,539.463,10.75,0.39
4033,5.25686,677.772,22.3,-0.49
1622,16.0846,4984.77,7.63,0.02
6261,13.3618,4913.02,22.67,-0.28
2298,18.1326,4947.01,30.04,-0.38
1931,17.7387,4885.36,32.22,0.39
7630,14.2487,4775.89,32.22,0.46
2066,7.32251,1835.27,34.29,-0.38
7465,12.1368,4901.67,16.82,-0.24
4007,9.09371,3139.29,21.77,-0.34
6969,23.4756,4978.63,22.72,0.2
3341,23.9927,4812.38,44.96,-0.01
3729,22.7063,4987.09,10.13,-0.31
3271,18.9441,4967.02,31.09,-0.38
5464,21.1241,4941.99,31.78,-0.3
2110,20.3222,4949.86,32.71,-0.01
5263,25.5594,4841.95,41.84,-0.22
900,6.00697,859.519,27.24,-0.04
6794,12.7051,4385.5,43.1,-0.48
3949,3.29919,158.052,41.91,-0.47
1796,3.18896,94.9012,22.02,-0.17
764,5.32878,620.716,25.09,-0.22
102,15.9399,4973.57,30.25,-0.37
5011,5.31777,545.274,15.6,-0.08
5923,12.0534,4566.43,37.11,-0.49
1197,3.33907,173.6,41.57,0.41
7022,9.18786,2680.12,10.25,0.1
4105,6.63776,1224.73,41.6,0.5
5534,11.3576,4701.61,27.12,-0.28
3523,20.3175,4985.99,19.55,-0.39
6040,4.66141,547.554,43.27,-0.45
3083,20.7257,4986.6,5.91,0.34
5813,17.664,4978.18,21.43,0.49
1103,8.0339,2169.28,43.93,-0.12
6832,10.6545,4200.01,28.15,-0.35
4464,6.36103,1149.58,28.08,-0.34
6963,7.63678,1830.45,13.23,-0.4
1374,24.6753,4959.62,31.36,0.4
2483,20.7736,4986.48,9.91,0.41
3888,8.84441,2594.79,30.0,-0.11
244,3.80337,246.838,21.91,-0.45
341,16.016,4890.49,36.9,-0.28
7225,5.97891,918.615,20.27,-0.31
5444,16.3416,4985.42,12.31,-0.21
4674,12.4786,4954.6,15.81,-0.29
552,13.3846,4956.76,14.59,-0.16
2031,12.9599,4983.12,9.41,0.35
2901,14.4013,4960.79,29.24,-0.48
5568,21.1395,4985.78,14.32,-0.31
1128,6.56899,1235.61,43.65,0.16
6485,18.7879,4986.55,10.91,0.05
2279,8.19237,2105.88,38.17,0.38
2638,10.398,3896.29,16.25,0.16
4140,4.14069,247.134,27.64,0.17
5666,8.9766,2782.09,39.42,0.38
1033,24.9382,4984.45,15.32,-0.49
6547,7.4951,1642.92,30.86,0.39
7714,7.19958,1367.87,17.38,0.24
2752,14.3789,4966.99,17.66,-0.05
15,15.7931,4971.94,22.97,0.03
5013,13.1652,4543.71,36.57,-0.06
5635,17.7989,4941.67,41.3,0.1
5485,18.243,4984.39,17.27,0.24
7066,23.8058,4842.5,42.67,-0.04
2954,12.4703,4980.44,7.81,0.18
2791,14.4067,4983.79,7.27,0.21
7594,10.1902,3444.06,38.39,-0.14
828,21.7539,4986.84,6.72,-0.19
3806,5.92972,887.337,38.12,0.06
3843,20.6631,4934.61,27.71,0.07
1845,13.4459,4722.62,36.28,-0.14
1724,19.2852,4929.61,33.81,-0.3
2233,8.68692,2991.08,29.46,-0.49
3136,16.3798,4983.64,12.93,0.4
438,7.45165,1545.81,29.01,0.16
5725,6.95786,1370.58,36.88,0.22
7581,11.7166,4389.32,42.46,-0.1
3208,7.62224,1829.32,43.52,0.21
2256,24.269,4828.59,43.57,0.49
1446,5.44995,802.261,33.44,-0.44
4690,6.58339,1169.22,11.63,-0.37
3201,4.72831,399.904,21.45,-0.06
4101,16.2944,4985.22,5.05,-0.1
4254,25.0745,4969.5,26.78,-0.15
4465,12.6979,4813.91,24.47,0.39
4081,5.77858,928.004,37.52,-0.35
3213,25.1192,4966.54,26.79,0.35
3916,11.9016,4826.66,15.38,-0.31
1623,7.90888,1705.12,10.04,0.24
1082,9.58988,3144.0,16.4,0.16
7889,6.19613,913.308,20.41,0.35
1519,25.4,4944.16,38.22,0.35
3390,4.9355,524.756,33.46,0.13
7778,15.9148,4572.51,42.1,-0.17
942,18.9619,4983.1,23.85,-0.2
4158,14.9349,4870.88,18.96,0.0
1643,25.7649,4823.93,42.94,-0.17
2335,17.0262,4789.11,44.36,0.35
6284,20.9031,4971.14,25.03,-0.01
3890,6.62061,1011.15,7.18,0.02
4478,9.00971,3322.89,43.64,-0.42
7513,3.99422,283.631,26.72,-0.46
5894,16.5754,4860.85,31.21,0.44
7821,7.5478,1812.9,40.79,0.49
4501,17.6928,4918.52,38.0,-0.02
7386,17.9948,4986.65,18.64,-0.25
7153,19.2184,4986.53,5.87,-0.07
4144,12.654,4642.71,37.08,-0.47
3669,19.1817,4906.9,35.58,0.49
6899,25.6136,4868.0,40.98,-0.26
1402,12.2453,4966.12,10.85,-0.17
5176,7.22242,1633.8,44.36,0.26
7610,7.83402,1674.98,7.54,0.02
6148,21.1603,4929.51,31.89,0.31
1710,3.90724,282.409,40.03,0.11
7931,15.5682,4960.45,24.12,0.33
1970,20.8473,4865.41,43.77,-0.32
7165,7.6868,1886.07,43.51,-0.05
4020,15.5317,4850.23,35.03,-0.26
967,12.5389,4705.54,24.87,0.11
6882,11.1349,4818.0,16.91,-0.42
6748,16.6426,4977.84,22.1,-0.45
5239,12.5629,4982.8,5.38,0.38
5224,5.52696,684.542,36.53,0.06
6681,22.6857,4942.71,29.62,-0.25
3684,12.1461,4381.25,38.81,0.38
6413,7.03744,1335.47,23.39,-0.07
7670,12.9664,4932.14,24.41,-0.05
6755,8.86509,2616.42,10.3,-0.17
2944,19.3308,4955.9,29.53,0.04
6956,12.3195,4978.39,9.82,0.13
1037,21.0821,4966.17,23.31,0.35
3302,22.7423,4987.07,5.04,0.29
3476,20.34,4986.54,11.48,0.32
1463,11.7483,4754.77,14.68,0.16
1438,17.5406,4985.88,6.05,0.02
697,22.371,4917.13,35.5,0.3
2369,22.6007,4966.44,24.74,0.06
4940,22.8955,4947.05,30.71,-0.07
5832,24.0043,4937.89,28.34,-0.03
354,14.2373,4853.44,23.8,-0.31
853,21.0645,4986.99,11.45,-0.32
6411,9.13893,2685.73,9.94,0.01
5326,23.921,4901.45,36.49,-0.01
3247,7.3746,1438.86,17.73,0.37
64,8.72404,2757.17,16.66,-0.39
6323,14.0144,4972.18,18.28,0.36
4595,6.90579,1401.38,30.65,-0.1
2751,24.1737,4984.96,16.53,-0.06
2396,16.2345,4835.87,35.95,0.12
2761,3.86936,174.899,12.89,0.2
7647,17.2848,4914.35,41.3,-0.16
486,11.5141,4250.82,39.97,0.06
3371,11.2697,4737.5,10.95,-0.17
282,3.16854,77.2347,18.56,0.22
2378,17.7739,4985.83,9.63,-0.39
5631,23.0653,4987.16,7.28,0.08
43,16.3923,4985.76,9.66,0.06
3577,3.87967,218.558,21.29,-0.25
412,12.264,4634.18,24.09,0.19
1009,20.9022,4986.7,8.41,-0.12
4429,22.8352,4986.88,12.85,0.27
6754,19.4277,4985.62,16.87,0.16
6901,20.9234,4986.7,10.6,0.05
2451,18.7842,4823.39,40.73,0.36
5855,18.5483,4975.79,23.45,0.34
6965,23.0435,4986.85,5.21,-0.36
540,11.1757,3935.19,39.97,-0.02
5364,13.0711,4658.15,44.73,-0.06
4240,3.63255,189.857,31.05,0.0
2134,9.45424,2966.81,13.86,0.26
6855,12.0489,4538.5,34.53,0.31
6312,14.8717,4981.88,16.81,-0.44
5927,6.59873,1216.36,15.8,-0.38
1775,24.9426,4987.17,8.72,0.02
4395,19.8357,4948.32,32.75,-0.11
5980,3.44214,122.3,25.12,0.3
3327,15.3432,4984.67,17.9,0.42
332,9.01094,2662.42,20.13,0.05
2833,19.5446,4986.28,7.7,0.16
6511,5.01811,450.84,18.92,0.29
3284,8.08951,1940.39,15.67,0.01
7256,9.7869,3340.62,18.72,0.04
6744,13.5608,4926.57,37.44,-0.39
656,6.3629,904.379,7.83,0.41
3032,9.77875,3322.1,12.13,0.0
7319,22.4928,4973.9,30.01,0.07
5748,5.62722,802.568,32.15,-0.21
1830,23.884,4818.78,41.73,-0.36
6181,14.7023,4983.93,6.4,-0.3
641,24.5667,4986.27,13.53,-0.09
1695,21.378,4949.98,35.86,-0.23
1607,20.6441,4882.47,40.43,0.45
417,16.337,4935.0,19.96,-0.05
6283,5.01353,459.852,20.53,0.43
5634,10.5741,4249.5,27.16,-0.34
6262,10.7593,3853.09,44.63,0.01
6064,10.8569,4004.7,35.48,0.39
1035,19.2507,4959.37,30.69,-0.38
7401,3.35623,109.268,7.67,-0.25
4389,16.8982,4986.28,14.13,0.07
6271,23.4752,4935.18,30.23,0.23
4935,23.5418,4956.04,27.78,0.26
710,18.7792,4981.01,25.21,-0.29
1834,15.446,4985.0,8.65,-0.13
115,18.185,4980.66,26.22,-0.49
6299,10.212,3789.38,6.03,-0.08
2509,18.1103,4905.84,36.69,0.12
6253,13.6368,4537.52,38.67,0.14
6710,10.4102,3845.87,11.92,0.13
200,10.4963,4271.41,21.84,-0.34
845,4.18885,294.388,41.75,0.4
5863,15.8308,4980.96,21.7,-0.27
7646,5.86437,929.203,44.97,0.48
3133,23.4293,4867.52,39.12,0.15
5659,23.246,4948.17,33.8,-0.11
4305,14.2015,4672.55,37.96,0.09
95,12.7588,4848.35,28.06,-0.34
212,4.60215,377.804,12.33,-0.3
365,18.4582,4986.69,9.79,-0.03
4894,5.50253,748.754,29.76,-0.4
7583,5.77055,701.184,23.14,0.23
5676,11.554,4382.85,23.46,-0.27
3462,21.4055,4727.83,44.68,0.12
1433,18.0129,4986.1,9.78,-0.31
3295,18.5705,4978.38,24.04,0.31
543,8.2635,2149.88,31.84,0.0
4125,16.4198,4472.46,43.91,0.02
2675,5.15107,572.034,27.99,-0.18
4772,23.6568,4987.24,11.06,-0.09
7192,21.9628,4848.24,34.78,0.47
4947,8.96449,2848.85,42.1,0.45
3299,19.3272,4896.04,37.64,-0.08
5661,21.0097,4984.63,18.6,-0.05
6749,12.9664,4752.22,25.6,0.14
1098,23.1643,4985.78,16.47,-0.37
3177,22.8371,4844.59,38.95,0.11
5215,5.133,622.492,40.9,-0.06
4937,8.83857,2454.33,19.85,0.28
6727,15.0154,4971.96,21.58,-0.2
5359,25.2865,4902.41,33.43,0.21
7952,20.2402,4873.3,43.16,-0.42
6834,24.5113,4986.26,17.53,0.03
3696,19.3252,4986.42,9.62,-0.04
4415,6.83189,1169.35,24.61,0.18
4757,10.5297,3749.23,39.17,0.02
7825,9.5059,3076.44,32.97,0.38
7440,23.2685,4986.71,7.98,-0.01
2432,20.3468,4986.57,5.29,-0.05
7964,13.5659,4926.66,14.87,0.01
3116,16.6059,4968.5,26.25,-0.45
2786,20.0233,4986.77,12.04,-0.29
841,13.0835,4764.77,23.75,0.32
2699,5.41768,582.028,16.66,0.4
519,15.9797,4962.51,25.79,0.2
3732,21.6118,4976.15,26.87,-0.1
2135,5.46933,780.741,37.63,-0.18
2806,23.2435,4984.69,15.59,0.27
5716,19.3177,4901.53,40.9,0.34
4513,16.8043,4963.12,32.03,0.37
879,22.3986,4986.67,14.19,0.24
6807,10.4023,3854.2,8.05,0.48
1625,10.0636,3699.85,38.12,-0.4
5047,11.5924,4456.97,39.34,-0.29
5060,7.50682,1601.25,9.26,-0.22
6521,16.4001,4896.28,41.28,0.07
1896,15.9213,4952.67,32.14,-0.06
7160,10.7332,3932.92,23.73,0.46
6606,14.5613,4980.47,17.04,0.41
5730,6.76773,1152.1,19.35,0.49
4880,22.9468,4952.95,26.5,0.17
2267,25.1858,4986.1,13.76,-0.45
6151,5.97817,774.229,13.22,0.47
5419,17.3752,4985.37,16.45,0.45
7010,3.04372,70.6699,12.2,-0.26
3464,5.66704,647.057,13.97,-0.01
858,16.8144,4890.17,29.2,-0.44
2101,17.5583,4986.0,8.88,-0.31
482,14.0776,4908.32,26.9,-0.37
5867,6.57017,1029.46,15.17,0.2
6905,5.2259,678.77,40.3,0.5
2074,7.98585,1974.9,40.02,0.14
6845,13.271,4947.48,16.07,0.31
1071,20.8203,4899.76,37.71,-0.17
1439,20.9639,4987.0,6.14,-0.3
4191,11.1115,4189.13,30.35,-0.29
5693,20.9865,4986.6,7.86,0.31
5858,13.0452,4847.68,32.12,0.02
4766,23.5399,4941.0,30.51,0.07
596,21.1602,4961.48,29.02,-0.26
691,21.5702,4959.26,29.08,0.09
7805,14.1233,4516.54,31.91,0.15
364,16.537,4983.38,14.59,0.14
1548,9.14523,3282.4,29.83,-0.34
6225,23.0104,4947.93,33.05,0.18
800,4.15565,232.792,12.75,0.36
106,11.6774,4251.25,44.18,0.13
5333,18.1629,4874.77,34.08,0.13
5862,17.0927,4889.1,43.23,0.11
2797,20.9062,4986.88,9.3,-0.25
7154,18.1028,4986.66,12.84,-0.48
5362,18.9542,4821.3,39.35,-0.15
5674,21.5315,4986.42,13.21,0.49
5841,7.7913,2018.19,34.87,-0.34
6029,19.3901,4934.85,37.0,0.44
923,20.7539,4983.02,23.41,0.14
5525,8.64681,2333.1,17.61,0.34
1605,5.9795,891.109,42.07,0.31
3206,15.2635,4980.81,21.66,-0.49
6656,3.36441,100.767,13.41,-0.13
1570,8.15904,2271.4,15.31,-0.35
